device, serialNo, Battery Level, Measure Date Time, Body Fat Percentage, Basal Metabolism, Skeletal Muscle Percentage, Weight, BMI, Visceral Fat Level, Body Age
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-26T15:11:02,28.3,1546.8451,28.1,68.9,24.0,13,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-27T06:47:44,28.2,1518.8815,26.8,67.6,23.5,12,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-28T06:26:54,28.2,1521.9885,26.3,68.0,23.7,13,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-29T06:05:25,28.4,1526.7687,26.9,68.1,23.7,13,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-30T06:55:27,28.3,1525.8126,27.0,68.0,23.7,13,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-26T15:11:02,28.3,1546.8451,28.1,68.9,24.0,13,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-27T06:47:44,28.2,1518.8815,26.8,67.6,23.5,12,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-28T06:26:54,28.2,1521.9885,26.3,68.0,23.7,13,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-29T06:05:25,28.4,1526.7687,26.9,68.1,23.7,13,65
68165B11-FC4F-4C15-BADF-283EEB85C7B4, 180301110F_SW,100, 2021-01-30T06:55:27,28.3,1525.8126,27.0,68.0,23.7,13,65
