device, serialNo, Battery Level, Measure Date Time, Body Fat Percentage, Basal Metabolism, Skeletal Muscle Percentage, Weight, BMI, Visceral Fat Level, Body Age
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-21T15:46:25,34.2,1211.998,24.8,57.0,24.0,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-21T21:23:39,31.0,1240.9177,25.4,58.2,24.5,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-21T21:35:21,30.8,1240.9177,25.4,58.2,24.5,7,71
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-21T23:18:12,31.4,1237.8107,25.4,58.1,24.5,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T07:41:49,33.3,1218.9292,25.0,57.3,24.2,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T08:22:21,34.8,1222.9923,24.6,57.9,24.4,7,73
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T08:51:58,33.4,1229.9235,24.9,58.0,24.5,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T16:01:17,32.0,1233.9866,25.2,58.0,24.5,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T16:18:46,30.4,1244.9808,25.5,58.4,24.6,7,71
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T17:22:41,30.0,1245.9369,25.6,58.3,24.6,7,71
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T19:05:54,30.9,1234.9426,25.5,57.8,24.4,7,71
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T20:33:42,30.7,1254.7802,25.4,59.1,24.9,8,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-22T21:04:12,30.9,1256.9312,25.3,59.3,25.0,8,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-23T10:52:53,35.0,1212.9541,24.6,57.2,24.1,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-23T12:51:20,34.5,1223.9484,24.7,57.9,24.4,7,73
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-23T13:12:21,33.5,1233.9866,24.9,58.3,24.6,7,73
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-23T13:21:57,33.1,1231.8356,25.0,58.1,24.5,7,72
2EA9BBF0-0F62-4A28-9472-EDA14F13EBEB, 180301322F_SW,100, 2021-01-23T13:43:39,30.0,1240.9177,25.7,58.0,24.5,7,71
