device, serialNo, Battery Level, Measure Date Time, Body Fat Percentage, Basal Metabolism, Skeletal Muscle Percentage, Weight, BMI, Visceral Fat Level, Body Age
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-01-27T16:44:32,30.7,954.82794,26.9,39.3,18.7,2,56
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-01-27T20:18:14,31.5,994.9809,26.5,42.0,20.0,3,59
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-02-13T05:28:13,38.5,1125.956,23.5,52.3,24.9,8,73
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-02-13T09:22:09,31.3,954.82794,26.4,39.4,18.7,2,56
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-02-13T09:22:25,22.3,982.79156,30.7,39.4,15.8,1,25
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-02-13T19:34:40,19.2,1012.9063,31.7,40.7,16.3,1,25
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-02-14T18:47:40,19.7,966.7782,31.9,37.9,15.2,1,21
36008D1F-4547-4490-9C93-97880EEBEA18, 180301903F_SW,100, 2021-02-14T19:27:07,22.3,1000.0,30.8,40.4,16.2,1,26
